utc,sensor,call_type,x_local,y_local,z_local,x_utm,y_utm,z_utm,lat,lon
2021-11-04 01:16:51,lf,pair,36420.633702010564,23845.757728105033,-40.0,69186.92891354772,5008957.267669082,-40.0,45.10263245143116,-128.47592215278598
2021-11-04 01:17:33,lf,pair,36437.10004794866,23803.31062473626,-40.0,69170.46256760962,5008914.820565713,-40.0,45.10224207928373,-128.47609402079118
2021-11-04 01:17:54,hf,pair,36450.77261105607,23678.60132999242,-40.0,69156.7900045022,5008790.111270969,-40.0,45.10111628740832,-128.4761598568235
2021-11-04 01:18:07,hf,pair,54050.001802791114,22536.314731867114,-40.0,51557.56081276716,5007647.824672843,-40.0,45.0799591372224,-128.69774438891113
2021-11-04 01:18:14,lf,pair,36419.46822891917,23811.78442071103,-40.0,69188.0943866391,5008923.294361687,-40.0,45.10232873886017,-128.47587821640053
2021-11-04 01:17:33,lf,pair,36427.68181431122,23827.889222184054,-40.0,69179.88080124705,5008939.3991631605,-40.0,45.102468049776256,-128.4759959758676
2021-11-04 01:17:46,lf,pair,53959.61535243597,22546.651907220727,-40.0,51647.9472631223,5007658.161848197,-40.0,45.0801089237265,-128.69661088991248
2021-11-04 01:18:30,north,lf,53966.970055402824,22893.1891141143,-40.0,51640.59256015545,5008004.699055091,-40.0,45.083208295498245,-128.69701337371902
2021-11-04 01:18:35,hf,pair,36466.862198538765,23646.892388534572,-40.0,69140.70041701951,5008758.402329511,-40.0,45.10082236491469,-128.47633617933872
2021-11-04 01:19:17,hf,pair,36481.766187370486,23700.086162417454,-40.0,69125.79642818778,5008811.5961033935,-40.0,45.101289943761046,-128.4765704537873
2021-11-04 01:18:51,hf,pair,54054.952670399376,22609.81609544387,-40.0,51552.609945158896,5007721.32603642,-40.0,45.080614374279435,-128.69787263507322
2021-11-04 01:18:56,lf,pair,36451.777989746246,23779.249822259164,-40.0,69155.78462581203,5008890.759763235,-40.0,45.102017547784556,-128.4762590576459
2021-11-04 01:19:14,lf,pair,54071.08065044221,22645.322373315365,-40.0,51536.481965116065,5007756.832314292,-40.0,45.08092220593637,-128.69810825581413
2021-11-04 01:18:30,north,lf,53968.384814295125,22887.471099574832,-40.0,51639.17780126315,5007998.981040551,-40.0,45.08315618252261,-128.6970261538173
2021-11-04 01:19:07,south,hf,61915.14007100834,18920.800285328383,-40.0,43692.42254454993,5004032.310226304,-40.0,45.04255914476546,-128.79388574081344
2021-11-04 01:19:17,hf,pair,36479.87109927497,23685.538650653267,-40.0,69127.6915162833,5008797.04859163,-40.0,45.10116074248603,-128.47653397646258
2021-11-04 01:19:58,hf,pair,36499.507785523834,23682.340568934946,-40.0,69108.05483003444,5008793.850509911,-40.0,45.10112013537407,-128.47677967480843
2021-11-04 01:19:35,hf,pair,54125.51948863752,22680.801452421856,-40.0,51482.043126920755,5007792.311393398,-40.0,45.08120554496266,-128.6988282175058
2021-11-04 01:19:38,lf,pair,36492.943044564345,23727.61783313661,-40.0,69114.61957099393,5008839.127774113,-40.0,45.101529842266565,-128.4767355237008
2021-11-04 01:19:57,lf,pair,54129.32843656432,22708.056699487224,-40.0,51478.23417899395,5007819.566640464,-40.0,45.08144726561239,-128.6989007244748
2021-11-04 01:19:14,lf,pair,54068.170276832585,22635.804191766954,-40.0,51539.39233872569,5007747.3141327435,-40.0,45.08083879115708,-128.69806295777084
2021-11-04 01:19:46,south,hf,66058.38535563457,9020.740186118564,-40.0,39549.1772599237,4994132.250127095,-40.0,44.951226763077955,-128.83718205134585
2021-11-04 01:20:40,hf,pair,36542.86388098671,23655.233438853164,-40.0,69064.69873457156,5008766.743379829,-40.0,45.10085085205456,-128.47730492667114
2021-11-04 01:20:18,hf,pair,54184.6026961121,22775.31443981241,-40.0,51422.95991944617,5007886.824380789,-40.0,45.082014718669285,-128.69965965504733
2021-11-04 01:20:19,lf,pair,36499.43478648447,23801.42672989898,-40.0,69108.12782907381,5008912.936670875,-40.0,45.10218726366346,-128.47688108584515
2021-11-04 01:21:02,lf,pair,36543.98872516692,23837.77697126073,-40.0,69063.57389039136,5008949.286912237,-40.0,45.10248586606956,-128.47747604020165
2021-11-04 01:20:41,lf,pair,54177.77449930972,22797.038070894137,-40.0,51429.78811624855,5007908.54801187,-40.0,45.082213624684044,-128.69959273680772
2021-11-04 01:21:23,hf,pair,36563.33684916049,23621.550216450985,-40.0,69044.22576639778,5008733.060157428,-40.0,45.10053656937115,-128.477535004281
2021-11-04 01:21:02,hf,pair,54224.83190244623,22807.716305593352,-40.0,51382.73071311204,5007919.226246569,-40.0,45.082279480186614,-128.70019723315465
2021-11-04 01:21:45,hf,pair,54295.254472676155,22885.386963611138,-40.0,51312.30814288212,5007996.896904588,-40.0,45.08293060155039,-128.70115701912124
2021-11-04 01:21:02,lf,pair,36508.40954243049,23800.12385431316,-40.0,69099.15307312779,5008911.633795289,-40.0,45.10217012694363,-128.47699351822013
2021-11-04 01:21:44,lf,pair,36573.96373266396,23725.077068811755,-40.0,69033.59888289432,5008836.5870097885,-40.0,45.101457762891876,-128.4777584319149
2021-11-04 01:21:24,lf,pair,54228.645781133106,22853.06455169677,-40.0,51378.91683442517,5007964.574492673,-40.0,45.0826832592353,-128.70028597945355
2021-11-04 01:20:53,north,hf,54412.5166408744,26951.939664970883,-40.0,51195.045974683875,5012063.449605947,-40.0,45.11928091504225,-128.70627881414745
2021-11-04 01:21:17,south,hf,87770.89620325094,12407.129511981735,-40.0,17836.666412307328,4997518.639452958,-40.0,44.96716688980395,-129.11413280052136
2021-11-04 01:22:04,hf,pair,36589.023447568215,23634.63268726775,-40.0,69018.53916799006,5008746.142628244,-40.0,45.10063816105305,-128.47787123499862
